PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/17/2023,2:11:20 PM,1,1,Brian Edgington,,Right,Virginia 2023,Colin Smith,smithcp79,Right,Navy,,1,Top,0,0,0,Splitter,,Foul,,,,,,,83.93255940722266,-0.40879372528006597,-2.855638736165768,832.9665829454722,237.4370777179775,2:00,6.437606607676613,1.5142296928853283,5.886605685613314,-33.65472996626465,6.038222629468393,6.537361330465452,3.438518296691913,1.7049221848437435,76.79224449719706,-6.2960415510807435,1.8895354135569569,0.4537678355331502,38.70990314352411,-4.94263863483087,71.079206048873,3186.7927051775073,,,,17.028477709173504,,68.44234817117778,0.3077730308268058,-4.342939273688783,3.398295349023599,-1.2840203626298803,50.00000000000005,6.38408155435685,5.882270666969062,-122.01018311341267,-1.9152590213270715,-6.535141384147896,24.39773556734402,-27.060383662668254,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,dd546807-aef6-11ed-9cae-23195d8eb3e0,84.0840665187194,6.433943237479368,1.5162835210752958,-0.3639618574550408,-2.881114049123294,76.91690645962329,3.4420046603688013,1.703204938807514,-6.240933486517611,1.8623373456377685,0.4536306850759999,6.792554279829091,4.240128197778451,-10.041071896376398,5.832286709902994,820.2080519483316,-145.23112553092466,98.46830217941938,-0.5299815092663458,-0.17435408395060645,-0.8298917117585348,36.48215267880366,12.505426772876373,-3.335181933523765,-1.2575925494467024,0.487775049456006,3.2566637077052096,15.837307056371541,6.256896858189616,-0.5642538449143149,0.07496312006635857,-0.022301427447830924,-0.5069109139203362,0.21041886486805106,0.8359217826184997,,,0.996828948546455,1,0.9916124435731877,3.48285102347124,high,high,84.75094057572545,-29.69782541239134,54.69339431438669,Kyle Teel,,Virginia 2023
2,02/17/2023,2:11:46 PM,1,1,Brian Edgington,,Right,Virginia 2023,Colin Smith,smithcp79,Right,Navy,Windup,1,Top,1,1,2,Splitter,,BallCalled,,,,0,0,,85.71281636542494,-3.8393843839304402,-5.562962574316377,1255.9014031700824,226.87731360922933,1:30,6.395563560591125,1.4400851944196909,6.004621900811304,-28.598201424987717,9.261849847293963,7.631397812927192,0.7842686350093242,-0.6236274857135945,78.80994160208729,-8.33931864034953,-0.6472229124750863,0.4456972683556379,,,,,,,,,,,,-5.755932766424331,6.226340447677538,-0.9988545227706652,49.99999999999997,6.070690897041825,11.830204422461199,-123.920100298226,-9.245391713365978,-8.941636303409197,24.987264729436998,-22.50165172390269,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,ec70d785-aef6-11ed-a594-552af98be644,85.87010680383167,6.392876610249585,1.4427032140489873,-3.807550018210316,-5.594515555094937,78.94105971663497,0.7868084021181555,-0.625704565537796,-8.299105793856995,-0.6802515028170107,0.4455598604397812,7.943394329226341,7.690081608474886,-13.508606765562687,18.233817220488003,1221.1566919321963,-293.367803676199,97.23348416124186,-0.6646519555368102,-0.23359142918042367,-0.7096991068153751,,,,,,,,,,,,,,,,,0.997750398941838,1,,,high,high,73.58955155110793,-33.224645743067285,54.57537809918869,Kyle Teel,,Virginia 2023
3,02/17/2023,2:12:12 PM,1,2,Brian Edgington,,Right,Virginia 2023,Colin Smith,smithcp79,Right,Navy,Windup,1,Top,1,2,2,Slider,,BallCalled,,,,0,0,,83.91430203509931,-1.522812024545133,-4.835796935761283,2243.4818400123945,61.97273667505776,8:00,6.333507906350741,1.6754778345502899,5.831466953555007,-39.796075023882175,0.4311362413562989,-6.176756280903343,1.867391334032586,-1.1806599390554737,76.68455914348137,-7.981166711035314,-3.277832909233238,0.45631936750671037,,,,,,,,,,,,2.0788285279054235,1.2201595797409963,-1.2697994887057706,49.999999999999936,6.183360012611535,10.491974343050517,-121.61815546204669,-4.451222383858765,3.096579842917495,25.065461443002274,-30.356525192309096,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,fbc690eb-aef6-11ed-97df-0fe7eed04c8a,84.03940091059192,6.327431550402111,1.6774014511785427,-1.4508221874217424,-4.859144442420085,76.776524709736,1.8727780829673635,-1.18212110678196,-7.8973420890521,-3.30039946038754,0.4562047291632777,-5.916779772047693,-1.6826613563236108,-76.51319203955298,16.277548724352325,523.2281173693647,-2181.6147926844255,23.322146319065993,0.10958881740769971,-0.9724236469292629,0.20587020666423347,,,,,,,,,,,,,,,,,0.984311326990686,1,,,high,high,75.35020098813776,26.407508588173144,54.74853304644499,Kyle Teel,,Virginia 2023
4,02/17/2023,2:12:35 PM,1,3,Brian Edgington,,Right,Virginia 2023,Colin Smith,smithcp79,Right,Navy,Windup,1,Top,1,3,2,Fastball,,InPlay,,FlyBall,Out,1,0,,92.67319857988213,-2.939744658436392,-5.196180607281759,2214.9749349568474,213.29457663841185,1:00,6.461480475421182,1.4809952163514422,5.907580070076295,-18.239010110215585,14.442166826654084,7.957225394305093,2.868047598532249,-0.5990600956241404,84.2613541713105,-4.9355612602032615,-0.916085532314506,0.4128751334056261,86.05861220579922,51.87303756851726,28.45610074343274,,52.70037787441787,96.55397543284981,104.83399399811442,299.4870264921558,,28.518602530234965,5.3792380063548295,-5.770733356720779,8.852689628496107,-1.0607486552883283,49.99999999999994,6.209921411778841,11.93013207865731,-134.14253439469752,-7.529517938597928,-10.476104979334186,30.01610676657083,-16.10300624285571,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,09ad658a-aef7-11ed-b4e8-870b779ce4c0,92.86042153896089,6.461478200250462,1.4841014663617138,-2.940194970668723,-5.233099235991469,84.42386498377071,2.8685111834964463,-0.6015562252407088,-4.927696223879487,-0.9553105250059305,0.41273681790144834,8.325939537396183,13.250276586099035,-23.921374552583977,84.26772915353425,2024.7146780600742,-898.1338624810786,91.41027494740116,-0.7640613077612918,-0.4054826302125068,-0.501790947086585,25.31714697360838,46.713701465898126,67.69753983166444,0.8569026438947899,1.8124713770204832,3.586980149054103,142.98830346420777,263.14791298724157,,,,,,,,,0.9966865288459625,1,,41.96150566321838,high,high,14.159357291318676,-57.24262074879231,54.672419929923706,Kyle Teel,,Virginia 2023
5,02/17/2023,2:13:14 PM,2,1,Brian Edgington,,Right,Virginia 2023,Alex Smith,smithal84,Right,Navy,Windup,1,Top,2,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,92.84727376968279,-3.28979640523456,-4.9701995630094515,2295.215177194558,15.876498249127074,6:30,6.490373375505805,1.4382643129061432,5.9544203643760465,-43.61779401877415,-10.615215246279831,-1.365295394001126,2.535933046223209,-0.5269816389296367,84.70614082343693,-5.859190172472315,-0.870451528740761,0.4134713866853924,97.93381474861134,-2.9346453881756487,20.170418105466442,2704.214696035439,,,,30.669456440147457,,22.095945007083078,0.21954983674650527,-0.8371425930741409,-4.694700873926228,-1.0352199852167958,49.99999999999999,6.198482127378317,11.726760263541436,-134.32035145184176,-9.208276921631525,-1.509316842157354,32.660839343785945,-40.638307833674844,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,21285557-aef7-11ed-99ca-1fd4e2fd8eee,92.96301926035906,6.482221746173314,1.4347863008370254,-3.1933865348919133,-4.928536803486486,84.79919462168306,2.5419878549499493,-0.5241254584440511,-5.762971434693228,-0.8249152269080018,0.41337265409560625,-1.7526673045023875,-12.88191483652652,52.44912058489333,83.98266146174032,1398.8549033246359,1819.6751548199115,60.94656907220597,0.5862167699379592,0.7928124442973147,0.16672830236892291,33.72462682727268,91.80709347445477,-5.013901110836623,0.5413586497064249,-0.09491410250917139,2.417489733099801,11.536582527089717,28.416946034536334,0.040371426094237065,-1.3222161720365426,-0.020566817590778164,-0.2360018095539598,0.05136657960466897,-0.9703940541795244,,,0.9934051997439266,1,0.9970392166708146,54.98228631461912,high,high,14.415495143757772,61.9500844129552,54.62557963562395,Kyle Teel,,Virginia 2023
6,02/17/2023,2:13:55 PM,3,1,Brian Edgington,,Right,Virginia 2023,Victor Izquierdo,,Right,Navy,Stretch,1,Top,2,0,0,,,StrikeCalled,,,,0,0,,92.11422930635563,-2.3937132885666323,-5.0778392639049255,2128.4990658750044,210.8676169358625,1:00,6.4668105598266274,1.381274344032602,6.021140368087044,-19.08618447273274,14.785396937891853,7.5487331498356705,3.274504561246143,-0.40397344048827,82.51955356913135,-4.554509015493289,-0.41705157152469,0.41427293503754414,,,,,,,,,,,,-5.514352397157552,8.79250958398917,-0.9803850122543646,49.999999999999986,6.26527277317784,11.610207241630027,-133.43861343296524,-6.200319584406666,-9.901828072402852,29.811416806309406,-16.385809742914827,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,393d4251-aef7-11ed-8928-2b7a39f3f554,92.3005769472425,6.466784236586845,1.384078452433594,-2.3939999203428854,-5.111621512607558,82.68100960266109,3.2750530704828296,-0.40630334241886507,-4.545220137688243,-0.4539329734123091,0.4141344664478019,7.892173826764381,13.520176177674069,-19.51948672295022,82.53225163136312,2006.169766093399,-711.1899486378608,94.25279053475568,-0.8090235567814155,-0.3341274422150135,-0.48356978496552133,,,,,,,,,,,,,,,,,0.9973870831190764,1,,,high,high,15.721232587344074,-78.34628977454122,54.55885963191295,Kyle Teel,,Virginia 2023
7,02/17/2023,2:14:40 PM,3,2,Brian Edgington,,Right,Virginia 2023,Victor Izquierdo,,Right,Navy,Stretch,1,Top,2,0,1,Slider,,BallCalled,,,,0,0,,83.80429784554703,-1.1640846325866427,-4.582300528546992,2260.3448235487895,50.26316553171836,7:45,6.360973250745141,1.858230732362365,5.764450974677422,-39.16765369940147,1.148053653246798,-5.087393688747496,2.3912992516591562,-0.8341696452706556,76.72583938491839,-7.298207164484177,-3.1614760767767525,0.45699207048490786,,,,,,,,,,,,1.3963397224476375,0.9534351993528359,-1.4691156344560665,49.999999999999964,6.238460725519516,9.899693357765777,-121.51952091685872,-3.710911310231587,2.079538127471459,24.710399711164637,-30.754119452055157,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,54044c02-aef7-11ed-9d43-3b5179dc2a88,83.92784862377647,6.35506550105562,1.8608749217123033,-1.093369648921302,-4.6146551535348985,76.81945543611374,2.3966012449674903,-0.8362621694990005,-7.215700096712443,-3.1937953420102785,0.45687941707885127,-4.783136857430515,-0.8783320600340297,-79.58308796420198,27.436330007268634,408.6916967532521,-2223.0901507470985,18.08094466363753,0.11558466618684132,-0.9835181462520394,0.13904042913997613,,,,,,,,,,,,,,,,,0.9974254914426208,1,,,high,high,65.30729772232306,32.34082013213075,54.815549025322575,Kyle Teel,,Virginia 2023
8,02/17/2023,2:15:06 PM,3,3,Brian Edgington,,Right,Virginia 2023,Victor Izquierdo,,Right,Navy,Stretch,1,Top,2,1,1,Slider,,StrikeCalled,,,,0,0,,82.73953828043115,-0.4307472589791161,-3.2935395961006106,2198.0489872974435,77.95238507259555,8:30,6.360165969040429,1.7850574386512972,5.727434993965593,-40.69785935401534,1.5108728965603007,-6.061357998416313,2.661593453025367,0.17094770783365892,74.89748024915436,-7.608876449887349,-2.0070352559842677,0.4623932335131881,,,,,,,,,,,,2.304124737340739,1.3808164400695926,-1.5019712195017099,50.0,6.299084716922694,7.106591475131758,-120.1762035053232,-2.125335826658566,3.356279096731264,24.151426639556117,-30.16269782230288,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,63b9499c-aef7-11ed-9113-177b039fb3b8,82.86575357217981,6.354609647407301,1.787041547423971,-0.3627810951577694,-3.3184312722373135,74.98948959143534,2.6668378641826145,0.16939844504624874,-7.526226447864372,-2.0312695605884334,0.4622749304504245,-5.780754204170026,-0.6318214021602652,-77.84839899202457,8.911108561126667,462.6872561738503,-2148.799630848263,21.049906478323575,0.043936311211306076,-0.9775940587612955,0.2058627135538637,,,,,,,,,,,,,,,,,0.8660472190119536,1,,,high,high,81.98001256723374,15.11019964588813,54.8525650060344,Kyle Teel,,Virginia 2023
9,02/17/2023,2:15:52 PM,3,4,Brian Edgington,,Right,Virginia 2023,Victor Izquierdo,,Right,Navy,Stretch,1,Top,2,1,2,Slider,,Foul,,,,0,0,,83.34940142832805,-0.6992999386075919,-3.8548009642852206,2241.665178148927,53.1743134458329,7:45,6.28043498934181,1.8526447434726887,5.820315524226571,-39.99390489752217,0.5968956523649709,-5.588022383136457,2.812931702217916,-0.1396010573505694,76.39613912654175,-6.823822646873392,-2.176599980351843,0.4585485566860504,62.147662114738175,47.7761188212016,85.7914269178407,,109.77195302665842,7.079429967803792,72.0029204011493,209.12393972973922,,86.064186121723,4.057082631018315,1.8797162940808234,0.5240195314994045,-1.5285341913898791,50.000000000000036,6.197875041566806,8.326473281715899,-120.99803412670676,-2.7222906265098286,2.7747241327973766,24.555821875464783,-31.400523472145895,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,7f06d685-aef7-11ed-9da3-d19f953db4ac,83.47179462120324,6.274257958962165,1.8550943029716451,-0.6248590645090142,-3.8850131908269567,76.48773882911364,2.8183796732504662,-0.14151991047840068,-6.738218064384,-2.2065153811028884,0.45843719874261046,-5.303866943975609,-1.4848593471565221,-77.56823906848433,32.05658003105178,482.5782457737011,-2189.1050700300884,21.527668381421435,0.12903308084253096,-0.9765530960505705,0.1723209640244915,41.65243086017358,3.065029390627571,46.02186985119912,0.6600834185507924,-0.36670021819047444,3.0930836385015357,208.63073547507537,14.35403717484141,,,,,,,,,0.9948615647049008,1,,18.44303574794155,high,high,61.14906835074406,33.167069026621945,54.759684475773426,Kyle Teel,,Virginia 2023
10,02/17/2023,2:16:34 PM,3,5,Brian Edgington,,Right,Virginia 2023,Victor Izquierdo,,Right,Navy,Stretch,1,Top,2,1,2,Splitter,,StrikeSwinging,Strikeout,,,1,0,,83.18214266700636,-2.2753437867266793,-5.332350324462761,967.2570268147781,234.40997879672847,1:45,6.416460625529141,1.6461244503949173,5.84956047273964,-33.475827571290345,7.33726498229494,7.364542248904152,1.6572095158295248,-0.15759096967767616,75.98567154415694,-8.147966457942665,-0.6858758804141901,0.45980244305816265,,,,,,,,,,,,-5.456692436625476,4.582651177458653,-1.2090437008403676,50.000000000000036,6.20749321641526,11.015572333126041,-120.45316927692116,-5.839209512094686,-8.00913417878959,23.60774464594347,-25.44780129527677,Virginia 2023,Navy,dav02,NCAA D1,ACC,aed67bc5-f80e-45c5-b5b4-360e0bff433e,987b0338-aef7-11ed-9515-e9992c728775,83.33447859534195,6.412689166136688,1.6485347368253491,-2.2313074923582645,-5.3608395421234,76.10762672189573,1.6606384638635676,-0.15948810547409834,-8.094371192218201,-0.7157409642007276,0.4596617687189261,7.6288117865722525,5.628423772820275,-8.443827365789943,23.108691201679473,956.772250626864,-142.03174417351062,98.91602997990711,-0.5756728460269196,-0.14683971295740048,-0.8043872655915524,,,,,,,,,,,,,,,,,0.9979281754546327,1,,,high,high,69.20217143399468,-37.509876663134584,54.73043952726036,Kyle Teel,,Virginia 2023
