PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,02/24/2023,2:14:29 PM,1,1,Andy Leon,leon-an42,Right,Columbia,Griff O'ferrall,,Right,Virginia 2023,Windup,1,Bottom,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,90.13269009432074,-2.5330862896102557,-4.765403709565804,2148.4361124029183,206.8173825674083,1:00,5.924288796716962,1.4202872558243973,6.233263672234008,-19.261604458421917,15.215470933553508,6.34668607242086,1.9905723089311975,-0.21534651555781084,81.68675569123172,-5.848613118006844,-0.2312568870320929,0.42145943418368936,89.92648755369788,-3.3229500892704484,-15.170106304666872,2690.821611056034,,,,21.4297665602213,,-14.951909010353166,0.16758494528607326,-4.859863680435465,9.196193926126124,-1.0612127961627047,50.000000000000036,5.721650579320008,10.69413000257978,-130.66180255604817,-6.384148852593371,-8.367499967214364,28.57385494085199,-16.34044653965646,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,76b2442b-b477-11ed-a70d-7330f75f420e,90.32197563116613,5.924255147401908,1.4231200440310476,-2.5333945814588423,-4.7974373795957765,81.84291120547925,1.9911268699478846,-0.2173956345882777,-5.8391722258612075,-0.2641315943131353,0.4213111873155488,6.658083187097885,13.960531284001112,-23.3689073353747,66.57442115152662,1972.19991762288,-852.1767504486788,91.79700090858522,-0.819241406339704,-0.39664979820859636,-0.4141406231216925,-23.49290588710829,86.64690688924154,-5.212491079317324,0.25856159916884563,-0.08300126336175152,1.8661291015942714,-5.529055666855379,20.704213055762185,0.34068415120009554,-1.947420422911204,-0.03340108682592535,-0.7350252237421636,-0.10694114300761084,0.6695532184935025,,,0.9970105902508873,1,0.9964160994952882,49.843481731184006,high,high,30.083140848147668,-1.3215994445634365,54.34673632776599,Weston Eberly,eberlwe42,Columbia
2,02/24/2023,2:15:04 PM,2,1,Andy Leon,leon-an42,Right,Columbia,Ethan O'donnell,,Left,Virginia 2023,Windup,1,Bottom,1,0,0,Fastball,,StrikeCalled,,,,0,0,,91.82717208252646,-3.2055561389836136,-4.506457029368604,2320.5811221879585,208.18347196258662,1:00,6.078646898655317,1.3793137092165701,6.13475953955206,-16.927286136765478,16.263588284747666,7.319797133518218,2.252753263497766,0.38472708094716734,82.53182337130113,-5.166962127323699,0.6716462632394472,0.4146492359894786,,,,,,,,,,,,-5.2884089313315,9.768491691361781,-1.0328917252918288,50.00000000000004,5.819826417329126,10.251261370240057,-133.063624826445,-8.021598550911145,-9.43943954593229,29.739088943359164,-14.737976095303573,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,8ba3271e-b477-11ed-a44e-733093d99e3b,92.01189692297194,6.079025361331951,1.3820308275351565,-3.2107349030027184,-4.539517109588474,82.69343215510786,2.252970812739484,0.38245288858954607,-5.162919654965641,0.635424614548344,0.41451006141318564,7.6235977153136645,15.147246170966609,-17.825645466688062,84.15453923036328,2209.17574961657,-710.3796533975274,95.1992467961495,-0.8391239853367805,-0.30612144803097696,-0.4496227266141431,,,,,,,,,,,,,,,,,0.9975078825249889,1,,,high,high,14.260777842090963,26.109189670066186,54.445240460447934,Weston Eberly,eberlwe42,Columbia
3,02/24/2023,2:15:18 PM,2,2,Andy Leon,leon-an42,Right,Columbia,Ethan O'donnell,,Left,Virginia 2023,Windup,1,Bottom,1,0,1,Slider,,BallCalled,,,,0,0,,79.22968149218416,0.21962960257809902,-4.451982471505043,2439.1146104828845,41.55670517706491,7:30,5.965468057457272,1.5493983401411406,6.073683673043855,-55.773209841598835,-9.131881048304741,-11.656431534069242,1.5514048765526631,-0.7852155461698692,70.91514976854384,-10.106206511813276,-2.7459165733503985,0.4830701236370878,,,,,,,,,,,,4.9394150621689175,-4.596048993632102,-1.192128773330146,49.99999999999999,5.9537167425262725,9.273584175799073,-114.88963499179408,-1.0471524071553706,6.490469902351024,24.640649971846713,-38.21333101658323,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,9392fb21-b477-11ed-b9c4-79db752f8e04,79.31913166670786,5.954485393577768,1.5489856862777882,0.35217419088252633,-4.447356206523327,70.95166804122279,1.5605497911724466,-0.7847410513766544,-9.964232522907093,-2.738057993008439,0.4829792707250537,-11.70023668827188,-12.481583251801256,-41.22705181180615,59.47202704959814,1834.4674282976912,-1607.485408203113,75.21038250574506,0.5627989646060616,-0.6590446391056919,0.49891631473063036,,,,,,,,,,,,,,,,,0.9968186052339222,1,,,high,high,36.475152778969345,-85.80734875302812,54.506316326956146,Weston Eberly,eberlwe42,Columbia
4,02/24/2023,2:15:33 PM,2,3,Andy Leon,leon-an42,Right,Columbia,Ethan O'donnell,,Left,Virginia 2023,Windup,1,Bottom,1,1,1,Changeup,,BallCalled,,,,0,0,,85.28751947572016,-1.190995760699228,-4.163826440059912,1679.6965041606961,253.07438348570403,2:30,5.4809508024397715,1.737409054653897,6.23629647560131,-33.57165918244085,6.0020325882859,13.402963401832976,1.602802573622708,2.015862678335627,76.44678266905403,-7.318186683439575,2.9868544377600807,0.4447920356824055,,,,,,,,,,,,-8.477784753118808,3.4735008849768,-1.4280396375119004,50.0,5.373706087908139,8.62259151040356,-123.82942344561508,-3.5368878435756006,-13.102111577861173,25.803026120175375,-26.805878833136372,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,9c99b151-b477-11ed-9102-dd92d7ed7a98,85.43705977595255,5.476887035393597,1.7415682341884973,-1.1431528370885211,-4.213252271651762,76.56230431344014,1.6064431064258788,2.0126129173116256,-7.260595507410293,2.9349341386396945,0.44466310048156066,13.884628233661013,4.007610045073593,7.69085954194522,52.58213187378232,1664.5868982399677,224.79057875611034,99.10045619054983,-0.2885111072922531,0.13382809227696332,-0.948077730297736,,,,,,,,,,,,,,,,,0.9975970498205401,1,,,high,high,42.67609906044463,-27.130525799021502,54.343703524398684,Weston Eberly,eberlwe42,Columbia
5,02/24/2023,2:15:51 PM,2,4,Andy Leon,leon-an42,Right,Columbia,Ethan O'donnell,,Left,Virginia 2023,Windup,1,Bottom,1,2,1,Fastball,,Foul,,,,0,0,,90.92412102483603,-2.8227652018413996,-4.614374662090615,2070.311823859242,212.74626803008564,1:00,5.892521367928392,1.442698015544108,6.228320972565969,-19.36393250255515,14.310950702013038,7.954414991692226,2.4831135125885964,0.1995916989024446,82.43951239235834,-4.558134872904054,0.4428924213293074,0.4178017089623914,,,,,,,,,,,,-5.6636905014810495,8.78512342112346,-1.0955742906858374,50.00000000000004,5.667402273164544,10.388786820770493,-131.80711523024132,-7.119261001838398,-9.925240489309845,29.023273118863752,-16.778705744362192,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,a7322fb8-b477-11ed-8991-e399175cbe54,91.10457141249057,5.892257003414137,1.4455343764253266,-2.8201193370126947,-4.648915945572958,82.59830074123977,2.4837647508877083,0.19725186139845632,-4.547190226812021,0.40550184629578206,0.41766456573061134,8.300393963356033,13.029447424419653,-15.016659466724068,75.9105264947204,1999.6117722702697,-536.4175688859682,96.58505299664564,-0.812352007824644,-0.25909989147723606,-0.5224475682972923,,,,,,,,,,,,,,,,,0.9977054793461565,1,,,high,high,21.680646680798315,-60.015911065105975,54.35167902743403,Weston Eberly,eberlwe42,Columbia
6,02/24/2023,2:16:14 PM,2,5,Andy Leon,leon-an42,Right,Columbia,Ethan O'donnell,,Left,Virginia 2023,Windup,1,Bottom,1,2,2,Fastball,,StrikeSwinging,Strikeout,,,1,0,,91.97047877966314,-1.1259913977465263,-4.318726313659847,2259.426833661984,204.85228225656647,12:45,6.071381752632067,1.2892333193747867,5.997659603281853,-18.107626370966905,16.194579434910345,6.558433030930871,3.9365093149469583,0.3149654569253603,81.85347638086411,-3.4484474639036633,0.4763490546659004,0.4147390840098507,,,,,,,,,,,,-4.770222508797858,9.134929048943661,-0.9468407943640137,49.99999999999996,5.971466037454927,9.863437885414632,-133.4434507760692,-3.1912411488658763,-8.549550847904813,30.334357448329246,-15.801744048489875,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,b506e62e-b477-11ed-bbed-1592027a6dc8,92.16201380246031,6.0718460227545545,1.2917077214889223,-1.132330126675603,-4.348745087716652,82.01981098490518,3.9367123944572593,0.3128833739873178,-3.4445902263017953,0.44303204259368445,0.4145940102009716,6.870462841139369,14.908261196816083,-18.836816804758435,56.987662703870626,2138.416415236675,-729.5100079629799,94.64419840366416,-0.8587961104990368,-0.32287392408304755,-0.3977708759310322,,,,,,,,,,,,,,,,,0.9930780285369335,1,,,high,high,38.71117242053357,78.9660502633608,54.582340396718145,Weston Eberly,eberlwe42,Columbia
7,02/24/2023,2:16:44 PM,3,1,Andy Leon,leon-an42,Right,Columbia,Jake Gelof,,Right,Virginia 2023,Windup,1,Bottom,2,0,0,Fastball,,Foul,,GroundBall,,0,0,,91.46891792189871,-2.759559739766418,-4.3949019742509625,2200.412080366129,210.78735156311672,1:00,5.936598933270801,1.3261052746005106,6.0968915195082145,-18.099794136099533,15.361202353166348,7.668260411580582,2.1181197921369654,0.7679631970363967,81.91837728720684,-5.5597788705742754,1.7444001813738863,0.4163331166517688,74.12166522448604,-17.555154463391784,-88.05079493743081,,109.98474434820662,-1.8319408292739456,23.165933342566284,7.270131936516202,,-72.81866779689591,0.13584022995805478,-5.438031678160583,9.135535341713283,-0.9857321379171672,50.000000000000036,5.710001781699177,9.943646865739609,-132.61088826860515,-6.996945156940114,-9.641493219698061,29.51173151183826,-15.976975484873433,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,c7021cf5-b477-11ed-9862-e99f6eabc088,91.65211474081856,5.936648314471374,1.3289279791935338,-2.7607597297286417,-4.429373382619268,82.07609607836554,2.1186659703434194,0.765587314496221,-5.550633197977691,1.7065728041216355,0.4161937652971231,7.985139860250673,14.19980839914576,-18.48439395875319,85.1164047117008,2086.89292134551,-697.632609802036,94.84100455394106,-0.8147533805202839,-0.3170463460125869,-0.485446746215109,-70.62870871314955,2.4037193263755614,-22.356853413749082,-0.4901356684095266,1.6746755501126338,2.2336423436900437,-6.945699808052292,2.147573642689623,,,,,,,,,0.9973756056196941,1,,23.709946795104777,high,high,13.395092244280994,-19.580425358270073,54.48310848049179,Weston Eberly,eberlwe42,Columbia
8,02/24/2023,2:17:04 PM,3,2,Andy Leon,leon-an42,Right,Columbia,Jake Gelof,,Right,Virginia 2023,Windup,1,Bottom,2,0,1,Slider,,StrikeSwinging,,,,0,0,,82.45680769030403,-0.12907961612945945,-4.456366668856171,2299.533311096385,83.14267180387954,8:45,5.716597076315755,1.6070650457223306,6.017068204750145,-38.0614282040494,3.1812587294132584,-6.826887405194819,3.0194162678431304,-0.9679559813306584,73.68066610923066,-5.888851624158583,-3.6819794757403126,0.4622160248230808,,,,,,,,,,,,2.3856702008577564,1.7585533263545847,-1.2476077112823543,49.99999999999997,5.684860591537024,9.527457476112032,-119.65198708182493,-1.398363580917368,3.440902959372689,24.184823883651934,-29.6376506559666,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,d30375ca-b477-11ed-be56-a9f89330dfe4,82.5854961524508,5.711187611082732,1.6087849551398574,-0.06304051681666711,-4.477952865701372,73.77698703802704,3.0244961379650577,-0.9694969120288778,-5.807977943396342,-3.706054791227795,0.4620964302536867,-6.623426838682242,1.1262789327819387,-76.14797817085051,15.865024200450947,550.5429771378682,-2232.656686364045,23.94150910887988,0.028585548057947722,-0.9709173055203735,0.2377024448407811,,,,,,,,,,,,,,,,,0.9628069138173492,1,,,high,high,75.72145707475369,31.932738691881692,54.56293179524985,Weston Eberly,eberlwe42,Columbia
9,02/24/2023,2:17:23 PM,3,3,Andy Leon,leon-an42,Right,Columbia,Jake Gelof,,Right,Virginia 2023,Windup,1,Bottom,2,0,2,Slider,,Foul,,,,0,0,,83.13741948526432,-0.7854547636856613,-4.243647190814275,2351.3786584993704,75.1712282417838,8:30,5.6934167974632395,1.4799019658324157,5.920870089050591,-38.29922511327588,2.409560274824848,-6.828735903343609,2.6217751802483,-0.9775201767992611,75.26088328823461,-5.904748878174842,-2.4470408723869586,0.4592145021627725,,,,,,,,,,,,2.4362668273067576,1.5293663494812089,-1.1301949329634282,50.00000000000003,5.606969596313093,9.159498906851919,-120.64313173089643,-2.8229415362748234,3.572241358811685,24.592905737862473,-29.9315752949425,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,de6d273a-b477-11ed-ba2b-9de0e939e4cc,83.26337403178279,5.687737004726259,1.481750046864086,-0.7166788579954972,-4.2666711405244255,75.35672128673829,2.6270395109746305,-0.9791929953375216,-5.821901998332899,-2.472961315671845,0.45909753819194543,-6.6117879677411215,0.348250776326965,-76.82451011257572,14.590579671603981,535.9599845826446,-2289.4821446284463,22.793435784804206,0.05833552001393704,-0.9736765009552201,0.2203430021405328,,,,,,,,,,,,,,,,,0.9974012978583291,1,,,high,high,76.86847758414864,28.95052576456838,54.6591299109494,Weston Eberly,eberlwe42,Columbia
10,02/24/2023,2:17:47 PM,3,4,Andy Leon,leon-an42,Right,Columbia,Jake Gelof,,Right,Virginia 2023,Windup,1,Bottom,2,0,2,Fastball,,InPlay,,FlyBall,Out,1,0,,89.90214235794531,-1.3637586398486945,-4.196160124300677,2087.726325476613,205.44213148027237,12:45,6.1144221994104395,1.1680205598989575,6.061903236468678,-19.121324006800148,15.085578175088802,6.102465812573595,3.7293563385300703,-0.7395558407032651,81.99140929050644,-3.9239478679920463,-0.887956959394191,0.42353082731496516,88.52603773899921,33.75498751714256,18.22910850787921,,,,,318.4753229631671,,18.38304397786525,4.021366125757681,-4.521286559790466,8.746391027264325,-0.8398957722359986,50.000000000000036,5.995945812202365,9.377880590492547,-130.47406514805562,-3.7305900158924405,-7.754410933291873,28.74800762534466,-17.173206504775877,Virginia 2023,Columbia,dav02,NCAA D1,ACC,2f7cce6c-9095-4c7b-baef-7cdb85e267ae,ecbd4463-b477-11ed-b520-31f41e82d970,90.08881220114715,6.114345125814007,1.1705079703903607,-1.363524614609894,-4.226116190856137,82.15503174102416,3.729875777426955,-0.7415762727336834,-3.9151289122585755,-0.9198648716918765,0.423383052627039,6.40005745380822,13.809828225808822,-23.20056356813969,68.3678337143303,1918.8949517171918,-822.4617768397246,91.91314629225273,-0.8299937613719124,-0.3939509536298837,-0.3948582052051221,23.02412784882044,69.90856208503209,49.188838589370036,0.8488188339179888,0.20376915746452634,3.867276000175473,100.43699389092232,302.2233306590483,,,,,,,,,0.9954740068610093,1,,47.247856457919845,high,high,28.469092298443773,-8.671834936002073,54.51809676353132,Weston Eberly,eberlwe42,Columbia
