PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/04/2023,12:03:21 PM,1,1,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.90704303728518,-3.090110971939156,-5.7719703794246495,2038.4661642088056,229.2912707105895,1:45,6.095257277098035,1.5061281525638537,5.6312727234819615,-23.502339383579482,11.883314550656273,10.50358236675581,1.6681543771029308,-1.4458508287823542,81.81766612320637,-6.424563650047287,-2.410576571762668,0.4281393401286774,,,,,,,,,,,,-7.2527702948026365,7.222685267865827,-1.0127699289342214,50.00000000000005,5.81136850859262,12.77304339168782,-129.94659668572956,-7.861412355488483,-12.369349276911871,27.888951372106202,-19.85600928359865,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,77faee30-baae-11ed-baa2-03c2b1df059b,90.08530493161759,6.093924928987156,1.5103067483410586,-3.0749674834830993,-5.820828920752842,81.96772913946903,1.6696371257910476,-1.4490500816889205,-6.400460628346812,-2.461268416414086,0.42800071324239375,10.959743137603448,10.560596761667439,-26.78053256837762,95.05494959949374,1819.818163541906,-918.4803505068173,89.2738960054427,-0.5822567603352472,-0.45057424382774053,-0.6767273570966097,,,,,,,,,,,,,,,,,0.9660132319066378,1,,,high,high,4.449927736517668,54.9695291870639,54.948727276518035,Kyle Teel,,Virginia 2023
2,03/04/2023,12:03:35 PM,1,2,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,1,0,Fastball,,Foul,,,,0,0,,88.46280327046668,-2.541469672902224,-5.035569901816346,2156.4838397246335,232.1847457260793,1:45,6.102037095801711,1.4644911757040788,5.5550563577794945,-24.53799877007395,12.04552271639918,12.292651663168593,2.1696211422007496,-0.7822644820276703,79.2468861166645,-6.122102002975815,-1.1139307634887037,0.43532566924049004,,,,,,,,,,,,-8.000410728838707,7.146189688625723,-1.029977446576388,50.00000000000003,5.861655963999594,10.860122969563998,-128.045279503315,-6.548813619962759,-13.22872468676496,27.43853799955344,-20.357784252338757,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,80696d45-baae-11ed-94b7-430912664448,88.63779788470873,6.1006231613977535,1.4690878738118414,-2.525194230164279,-5.0902558453334095,79.39421277382272,2.171352274908583,-0.7860206896480428,-6.094599839935995,-1.1724752526876676,0.4351841592550697,12.80201317047968,10.620967758659182,-19.733658549736514,81.57446623781989,2029.838619908736,-728.1330428709423,94.12723538739482,-0.5771104589290885,-0.33764827236726214,-0.7435974464467048,,,,,,,,,,,,,,,,,0.9940878020890552,1,,,high,high,16.582857454560184,-59.39432327121652,55.02494364222051,Kyle Teel,,Virginia 2023
3,03/04/2023,12:03:55 PM,1,3,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,1,1,Slider,,BallCalled,,,,0,0,,86.20182170543788,-2.9655379280014955,-5.364770724459479,2220.112943941401,221.5679925053713,1:30,6.100358485258779,1.5162312621881995,5.702250229452426,-27.62245989295825,9.883560716703794,4.854676676755888,1.4745945634146476,-1.5775787758156326,79.51926155384714,-7.058500704587851,-3.1169254427368807,0.44527137901469077,,,,,,,,,,,,-3.982584661395422,6.40399956292194,-1.0611223316176968,50.000000000000064,5.828788324770241,11.560736129039116,-124.71961525098297,-7.40171485848338,-6.265948307308091,25.34606785281053,-22.09839931539591,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,8c8ba8c0-baae-11ed-8d33-df73c0199c67,86.36943729664345,6.098185746573425,1.5198359587627985,-2.93966864122139,-5.408661630026506,79.66217469757339,1.4768339658255325,-1.5804475117823538,-7.022813749394327,-3.1620322446979636,0.4451285520094407,5.298941735069196,8.397763672767246,-62.40008559910456,69.47294979283568,1028.5665658808198,-1967.4735839162602,46.329470250049056,-0.3466226726519218,-0.8862042759065102,-0.30739990918778215,,,,,,,,,,,,,,,,,0.9889527925789764,1,,,high,high,27.474284818029858,32.3562173957329,54.877749770547574,Kyle Teel,,Virginia 2023
4,03/04/2023,12:04:10 PM,1,4,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,2,1,Slider,,Foul,,,,0,0,,86.72532241136985,-2.185972384581341,-3.9216241014510427,2220.5346293219795,231.98220306329844,1:45,6.053016722483652,1.6532351021507494,5.646231977832924,-28.485453769306442,9.232794269684756,6.924332572134528,2.124136165158905,-0.001421586934318517,79.39929410521721,-6.550721816936751,-0.7848187481090422,0.44202545362197887,75.11273802158988,60.52408871103948,127.562546446282,,,,,214.92804077478664,,127.33896028493088,5.2796000816468025,-4.804904689538992,5.54463753013787,-1.3195204035822348,49.999999999999964,5.845708729568601,8.392700705834132,-125.79341039410377,-5.76210931523564,-7.685230910696346,25.946668289400197,-23.305648964444483,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,95662838-baae-11ed-b784-590c38160f09,86.89409091092455,6.050738020256005,1.6573808065836486,-2.1588629838655855,-3.972216933399314,79.54205475158453,2.1265655852236223,-0.004803463568409034,-6.512247245829064,-0.8380036181721248,0.44188334731869294,7.394967974494877,7.738871146731319,-58.299900957211456,90.9039557218363,1166.8312465266204,-1889.253525111766,52.54731140504221,-0.32364215607277225,-0.8508102058685898,-0.41397795642088864,29.297596360878686,-22.5316924409596,65.3903440602741,0.1607335333145825,1.1731070618453299,2.3532927357731537,170.88095327824843,-130.36012625801428,,,,,,,,,0.9969301421182202,1,,22.745664078823378,high,high,8.185953789393471,68.52178268395858,54.93376802216707,Kyle Teel,,Virginia 2023
5,03/04/2023,12:04:32 PM,1,5,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,2,2,Slider,,Foul,,,,0,0,,86.70319132482767,-2.1497844303943343,-4.189980533762147,2305.007092437255,211.80159450678144,1:00,6.153887893749466,1.36835337368632,5.6705832133729634,-25.629750189026495,12.111821460825595,4.425048893762006,2.249250376604772,-0.457969859833808,79.94621243668391,-6.438358288401251,-0.8652298279136945,0.4421620988391237,,,,,,,,,,,,-3.556621223659923,7.079417559294741,-1.0115445585144949,49.99999999999997,5.952577264547322,9.063703599426027,-125.72302830599811,-5.581860198650647,-5.6795143811774,26.03393092923283,-20.86903527328699,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,a245bb17-baae-11ed-ac04-23f3d27c68c9,86.87875649192071,6.1522754267224515,1.3717443107911365,-2.131070794076524,-4.230715912699467,80.09436865686104,2.2510797057855023,-0.4605933065684129,-6.408861166866625,-0.9069785128232473,0.4420126447510754,4.803635163687866,10.67415593549541,-57.87752054518116,88.10774265921172,1225.6434754559275,-1952.141328710184,53.173089118782876,-0.451906401121815,-0.8469133718135506,-0.28021125114550965,,,,,,,,,,,,,,,,,0.9725232196400352,1,,,high,high,10.702711990934807,-88.06955235159519,54.909416786627034,Kyle Teel,,Virginia 2023
6,03/04/2023,12:05:00 PM,1,6,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,2,2,Fastball,,Foul,,,,0,0,,90.12580692216886,-2.8375579656136662,-4.851370377528343,2126.1341819953204,228.44841573085566,1:30,6.107378640345802,1.3860902228785854,5.67017488968756,-22.54020038454514,11.684143660383075,10.671271753611903,1.8746116593954887,-0.029740015407721296,82.8885893815353,-6.365388104040284,0.4193397058558478,0.42621229686575035,,,,,,,,,,,,-7.161299108719073,7.358274391855785,-0.9763173703447797,50.0,5.848442545339854,10.704211343091643,-130.48714637498992,-7.275653057925546,-12.304242267617603,28.348504281294144,-19.531372689741367,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,b36a7fe6-baae-11ed-8448-b1e1e3910d11,90.30434795189879,6.106255187080182,1.3903016267814943,-2.8247902175630095,-4.901160826949011,83.03873153904429,1.8759185657935644,-0.032938061883630756,-6.344210518989294,0.3683260980972566,0.4260728482261597,11.160951166304326,10.310805388140896,-25.37819684175943,6.264229334620537,1920.9589409003465,-911.2427268428154,90.3498451399515,-0.5992851703971879,-0.4285913535276679,-0.676141062370372,,,,,,,,,,,,,,,,,0.9977216138529075,1,,,high,high,84.36219131675784,0.007152196058367312,54.90982511031244,Kyle Teel,,Virginia 2023
7,03/04/2023,12:05:23 PM,1,7,Nick Parker,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,2,2,Changeup,,StrikeSwinging,Strikeout,,,1,0,,81.34962630272102,-3.1211054752424445,-5.330178632794686,1835.4243683865946,252.60168634650432,2:30,6.122249818147105,1.404610798191687,5.513864103044886,-36.110207767186175,5.978594191237136,14.050440463405588,0.8579877670369476,-0.40529612227443207,75.23935532020508,-8.027308282588205,-0.9833318146259971,0.4669332538033184,,,,,,,,,,,,-8.524116686719278,3.5638776131506087,-1.4974426102876193,49.99999999999999,4.963562126810794,7.084594671684342,-119.52100227449148,-3.9228123396284302,-12.265206031420767,24.17387540079379,-27.046046908119735,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,c0de9f4a-baae-11ed-a77c-970159118d62,81.48380968300745,6.117156136097429,1.4081752326580057,-3.060142861439199,-5.373067665156841,75.34903130812495,0.862201145053392,-0.4081026910783219,-7.960988961202614,-1.0279476825402611,0.46680979643783393,14.468637244879487,3.8935162233791005,28.230631809522098,70.31468931329866,1617.1018991390551,868.195864922306,88.10506861476112,-0.2634453503520815,0.47302186888010106,-0.8407418503554142,,,,,,,,,,,,,,,,,0.9086660965436086,1,,,high,high,26.716739791337503,-74.66705559993386,55.06613589695511,Kyle Teel,,Virginia 2023
8,03/04/2023,12:05:58 PM,2,1,Nick Parker,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,90.60158203585749,-2.4038093775724394,-4.102418814702842,2163.475680671291,226.16723297074566,1:30,6.031060537115788,1.6352134039863466,5.641009958666426,-22.44753910033632,12.436344309945454,10.805339293152576,1.9925756936930983,1.291239264890469,82.16790182622425,-6.501570423918833,2.235343227003765,0.42381134926142006,,,,,,,,,,,,-6.982816503511888,7.5480574180459765,-1.2880316831544378,50.00000000000007,5.808982391816765,9.043198161146787,-131.34062448551643,-6.286680698376955,-12.14372000325252,28.961710726700012,-19.047326893641703,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,d5cd7af3-baae-11ed-bef6-2be0aef66b6e,90.78285428361039,6.030186873186182,1.63933262536295,-2.39400258408268,-4.151447786024974,82.31847812522157,1.9938209029378766,1.288002792676781,-6.481675102604256,2.184136057435938,0.42367157610198297,11.294719957803261,11.006267235106936,-21.268013412823397,32.99207556246716,2016.1297331573924,-784.759784860824,93.18938739037827,-0.6453885352725627,-0.3627310405529153,-0.6722349520503493,,,,,,,,,,,,,,,,,0.9944180764681473,1,,,high,high,60.30714828921222,29.961536448440846,54.93899004133357,Kyle Teel,,Virginia 2023
9,03/04/2023,12:06:15 PM,2,2,Nick Parker,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,0,1,Changeup,,BallCalled,,,,0,0,,81.36793488067508,-2.711366575458546,-4.26460348082073,1769.8674357333218,254.47242545005847,2:30,6.053954749683013,1.6716180601407118,5.47118465425338,-36.807331981745854,5.858521071044102,14.260444064577374,0.7290939447907873,1.1489738920567738,74.83890355466896,-8.62766052313814,0.7606992508809541,0.4738454324285775,,,,,,,,,,,,-8.965420004265823,3.812436756026425,-1.3007121101825152,50.000000000000036,5.785305073162954,8.322999103593666,-117.8623303725477,-6.803690596654243,-12.545896777711572,23.486487840396734,-26.83905825375868,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,dfcd6ecc-baae-11ed-b80e-67d3b76aa0bf,81.50493005815912,6.048778276281301,1.67553317485337,-2.650584500588111,-4.310962983501631,74.94730681912822,0.7334568885755448,1.1458810106157604,-8.560429257366646,0.7123039366087638,0.473710921370039,14.710777304312883,3.6922103657612695,22.69814483677074,52.335012027782014,1632.792234212251,682.9496760123759,92.2550582742218,-0.2469687360566304,0.3858761748048121,-0.8888790812751736,,,,,,,,,,,,,,,,,0.9951757157478044,1,,,high,high,42.8984560892025,87.14613118834855,55.10881534574661,Kyle Teel,,Virginia 2023
10,03/04/2023,12:06:33 PM,2,3,Nick Parker,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,1,1,Fastball,,BallCalled,,,,0,0,,90.3861252561207,-3.2774887519812417,-5.437369993288071,2085.2502789552263,233.4419856098769,1:45,5.992844888561225,1.6259560772180068,5.600216476527081,-23.625868306141577,11.424120175833295,12.278432746801775,1.0179106592568468,0.7632241553107836,81.67368440663144,-7.459903769841947,1.0525302158740149,0.4261038539297554,,,,,,,,,,,,-8.10832543719313,7.032757476070696,-1.1600675320377813,50.000000000000036,5.690768305781604,12.010803213251403,-130.67635659162556,-8.340124664710528,-13.973762864194851,28.395017430492892,-20.0539039390062,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,fe855655-cd51-4e09-9dcd-7181de28d1ad,eab0c507-baae-11ed-b350-cf346a5e9067,90.56017821519646,5.991390380779159,1.6303737089689303,-3.26062131188374,-5.489892435899415,81.81693923272931,1.01959134699171,0.7597442910288603,-7.433254499095731,0.9975003238841045,0.42596936379209865,12.768035924050702,10.076580978153304,-15.69373313650015,7.415963617512269,2007.5149377409198,-564.0500869868913,96.27213375781183,-0.5734318915739071,-0.27049514999681357,-0.7733099246448167,,,,,,,,,,,,,,,,,0.9972592138822853,1,,,high,high,83.32563425133984,1.8659593353050934,54.97978352347292,Kyle Teel,,Virginia 2023
