PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,03/04/2023,4:06:24 PM,1,1,Brian Edgington,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,92.17581026099825,-2.708524356072899,-3.7387062935588435,2169.083447820794,212.53005857333028,1:00,6.416377689559017,1.1888524493706785,6.183005238180023,-17.915447080187082,14.685167339362021,8.136866046268173,3.1664986548451957,0.22309813831989608,83.86122871806059,-4.601579891983669,-0.07310168942479155,0.4121355627749383,,,,,,,,,,,,-5.52051501617061,8.904737859888622,-0.9058133952433138,50.000000000000036,6.198514768012017,8.47941163278186,-133.7671108750409,-6.9161930023304095,-9.956609702531326,30.097173421386202,-16.113772761363055,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,6c7ae945-bad0-11ed-abf6-750dd9329fee,92.35765012733646,6.416369104871077,1.1916887720714253,-2.7090005698675332,-3.773757421190334,84.02262771733986,3.1669120389672645,0.22071395160479,-4.594505419523879,-0.11077913416382884,0.41200007308743386,8.485829651504586,13.480155850102994,-13.82252888755303,77.85009624600326,2106.2676852436157,-518.2272105058213,97.10404121887117,-0.8186933488838778,-0.238915294396104,-0.5221692087790357,,,,,,,,,,,,,,,,,0.9966926677121127,1,,,high,high,19.93511328794528,-40.149618585475245,54.396994761819975,Kyle Teel,,Virginia 2023
2,03/04/2023,4:06:45 PM,1,2,Brian Edgington,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,0,1,Fastball,,Foul,,,,0,0,,92.08514931773759,-2.7886095645786266,-4.31189168934608,2085.4691658250917,213.98141336385856,1:15,6.460846565115496,1.06204756707186,6.193244476558826,-18.77876750709584,14.087845136396584,7.800740916559219,3.1479281451417798,-0.21362435621347112,83.1728460705017,-4.7180689095669175,-0.11045454902299229,0.41261878473260505,,,,,,,,,,,,-5.492197464599621,8.473918106581863,-0.7353803246477976,50.00000000000002,6.236719743218235,9.819027876618433,-133.54223278313862,-7.12483090916444,-9.88073470957609,29.766540695483958,-16.929052059693376,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,78b1d633-bad0-11ed-ac81-d70a41dde697,92.26635878655023,6.460573196660906,1.064948152046902,-2.785841966253141,-4.34739871234756,83.33175781290748,3.148622977957468,-0.2160613813790251,-4.706517100774954,-0.14905079647959113,0.41248399651312484,8.127053429600364,12.930690353157853,-21.649358733011276,81.48148200981562,1938.3581073492228,-769.3825376759876,92.94590105254967,-0.7707250061761118,-0.3689253959176089,-0.5194968884429124,,,,,,,,,,,,,,,,,0.9948900857148966,1,,,high,high,16.666473903554046,-56.4592230838234,54.386755523441174,Kyle Teel,,Virginia 2023
3,03/04/2023,4:07:07 PM,1,3,Brian Edgington,,Right,Virginia 2023,Mark Coley,coleyma42,Right,Rhode island,Windup,1,Top,0,0,2,Splitter,,StrikeCalled,Strikeout,,,1,0,,84.23194878088357,-2.8241338640673415,-4.437103036268315,1048.0800192826973,230.81762123063152,1:45,6.370955757634451,1.2195840341335595,6.201028743611981,-31.781058526266794,7.699537565565354,6.782947347921626,1.5238548746455358,-0.26216552081233585,76.8546947823243,-7.994989642223328,-0.7285125232885414,0.4505749223068264,,,,,,,,,,,,-4.942871653947202,5.04667397018627,-0.8833440574169971,50.00000000000004,6.1378546545011705,9.279555938376172,-122.15199504905583,-6.964112561455637,-7.460034392699457,24.309013215145946,-24.55735143518598,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,8625cd8c-bad0-11ed-8318-bb4f25a6a453,84.38192478863601,6.367820356799566,1.2219475227271934,-2.78584903319587,-4.466416029250562,76.97886150550097,1.526927366454735,-0.2641265368330792,-7.9463795531022665,-0.7596965316922278,0.45043892197657687,7.077707480298279,6.015220251300844,-20.355152158583877,31.074817360094848,982.632183906177,-364.5623649958896,93.75545433817997,-0.5923384660474502,-0.3478382931537946,-0.7267349334223644,,,,,,,,,,,,,,,,,0.9911652067928584,1,,,high,high,62.03266680349165,-50.34007387946249,54.37897125638802,Kyle Teel,,Virginia 2023
4,03/04/2023,4:07:45 PM,2,1,Brian Edgington,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,91.95974041651124,-2.504344034133463,-2.611571976385057,2062.4253363325747,214.62415674082274,1:15,6.396206153374585,1.1006551590496172,6.15533600671793,-18.98790628915401,13.91139366503139,8.080382849908426,2.991181615739374,1.478881804253652,83.60795780488075,-5.136967153549291,1.9560019746537787,0.4128239176249486,,,,,,,,,,,,-5.153499999196217,8.292185801924758,-0.9031377542847628,50.00000000000004,6.192377236002899,5.833709189094216,-133.61419492153667,-6.462601843547693,-9.272778664108177,30.047368830955964,-17.253781109255783,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,9cf3459e-bad0-11ed-8ccb-1100233bf15a,92.13951566585331,6.395880278333779,1.1035523850372788,-2.5009447649833874,-2.6474301448358744,83.76553982842428,2.991906944676928,1.4764438025786304,-5.125075784446197,1.9173935405096698,0.4126874424272792,8.4082734905345,12.71568603964753,-18.02463795355284,10.56601570901444,1961.2088142789528,-638.1678891491471,95.09235460452565,-0.7825120230882945,-0.3094259355269285,-0.5403059542014597,,,,,,,,,,,,,,,,,0.9977945351222554,1,,,high,high,80.49057670500997,-2.9165746526769056,54.42466399328207,Kyle Teel,,Virginia 2023
5,03/04/2023,4:08:04 PM,2,2,Brian Edgington,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,1,0,Splitter,,StrikeCalled,,,,0,0,,84.5052655911459,-2.360487414947832,-4.4055877730842115,1172.54161508665,232.57716366032108,1:45,6.414659139947052,1.2100267065009764,6.114932091021027,-30.93721951804305,8.11560819030555,7.575386635527971,1.9994006578005645,0.1435608698630587,77.07284711518368,-7.42935220935287,-0.437937149923857,0.44977754036141865,,,,,,,,,,,,-5.354474041202791,5.069961684685379,-0.870131006827477,49.99999999999997,6.2132691492436125,9.217383057921278,-122.57811965471647,-5.992906137980331,-8.134314703750496,24.573768512943936,-24.47195530711469,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,a7d700ae-bad0-11ed-a949-c316393eb343,84.658678020611,6.411646875947982,1.2127230791167793,-2.323869896000898,-4.438912799882172,77.20078150892263,2.002391984581997,0.14131725348957622,-7.382066070874622,-0.47347340078589273,0.4496398413537868,7.881808197894542,6.51756895234835,-22.078264473527547,18.61103327534699,1086.5606463674537,-440.7264467621056,92.6671286022678,-0.5631311170557266,-0.3758727546139471,-0.7359368297228324,,,,,,,,,,,,,,,,,0.9861305682775993,1,,,high,high,73.25006826696729,-36.60305867237205,54.46506790897897,Kyle Teel,,Virginia 2023
6,03/04/2023,4:08:26 PM,2,3,Brian Edgington,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,1,1,Fastball,,StrikeSwinging,,,,0,0,,92.75379228309126,-2.1565997450512415,-3.066707653450663,2121.01552032663,211.65467249743583,1:00,6.449525530309974,1.2889066127327788,6.155505494016041,-18.542937691757878,14.3976116005947,7.679690946190163,3.4593273015278028,1.337279117119816,83.49215866688357,-4.682528932131788,1.5048674083412446,0.40939715598742366,,,,,,,,,,,,-5.037772281101337,8.534054297229167,-1.0559164915817822,49.999999999999936,6.273190577712543,6.971232352414456,-134.74581344886352,-5.661061903262989,-9.216282956859326,30.63098749023688,-16.56154175837929,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,b4cf4821-bad0-11ed-9174-8b9b504b7e0a,92.93688291321172,6.449496651964766,1.2916091404619987,-2.156763391319739,-3.100453255308706,83.65192442039532,3.4598528681136633,1.33497834483344,-4.6736798166996065,1.4681121955024414,0.4092621680095745,8.024986515604919,13.150451615299552,-17.428187091048994,44.33951067190874,2023.6462662735162,-635.2657919829314,95.40930968585656,-0.8121493763629295,-0.2995102043784679,-0.5007065287635795,,,,,,,,,,,,,,,,,0.9973239775965609,1,,,high,high,50.094428448857435,-67.04976172394376,54.42449450598396,Kyle Teel,,Virginia 2023
7,03/04/2023,4:08:51 PM,2,4,Brian Edgington,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,1,2,Splitter,,BallCalled,,,,0,0,,85.51506590143732,-3.7511203397515045,-4.5418418102207685,1223.5327303231888,232.85924298881594,1:45,6.285343426644518,1.348144682495378,6.225410601538666,-29.879443192160227,8.192503728875057,7.597190536621424,0.7212693375489132,0.08257376781723744,78.64685549293762,-8.448985225720444,-1.0778211527319839,0.4422642542322422,,,,,,,,,,,,-4.829959909953055,5.16019598051919,-1.5841204186452331,49.99999999999998,5.625914936736282,5.225285277230269,-124.43192798027437,-7.1301733503339575,-7.558003445335121,25.418339961169103,-24.099287118717417,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,c37ad92b-bad0-11ed-a60c-f1f17538cbfd,85.66647066917449,6.282477316031812,1.3508682537078422,-3.7161397906025946,-4.575633170070035,78.77462948101821,0.7240777517893556,0.08032101502671588,-8.404787793783457,-1.1134673272480902,0.4421404890543859,7.907777211450664,6.66092914118977,-23.718053927703235,22.471626351479063,1120.188130204807,-492.1492610178085,91.55358924553789,-0.5527778589348469,-0.40223628581461013,-0.729823683532861,,,,,,,,,,,,,,,,,0.9967710750508526,1,,,high,high,69.77553323632044,-33.53216193473746,54.35458939846133,Kyle Teel,,Virginia 2023
8,03/04/2023,4:09:09 PM,2,5,Brian Edgington,,Right,Virginia 2023,Eric Genther,genther42,Left,Rhode island,Windup,1,Top,1,2,2,Fastball,,StrikeCalled,Strikeout,,,1,0,,92.80393612642642,-2.919464321013962,-5.751260357901391,2103.979894045404,213.1232216981623,1:00,6.438345588886245,1.2363203294842888,6.100596863854964,-18.415224862640795,14.226515761579495,7.888715866272312,3.0095064950658803,-1.0019147025012527,84.02329653892926,-4.739993949585694,-1.5161668421396401,0.4110625254660619,,,,,,,,,,,,-5.9321063249707,8.72287234898131,-0.7894609855485643,50.00000000000002,6.198887815711939,13.263446164933967,-134.25448671665654,-7.474613847649341,-10.789909407217188,29.99430970203698,-16.308015287180684,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,cedd3973-bad0-11ed-9efa-a52ca4cb908b,92.9861060555175,6.438237023099368,1.239099367112216,-2.9185735683827154,-5.78559470485529,84.18447766691318,3.010036473528765,-1.004262015440353,-4.7309426814108,-1.5535102098862452,0.41092906492736575,8.236311059088411,13.034085134704338,-18.91045961219548,65.07559210865477,1990.420123959549,-681.8791129549011,94.60262094674731,-0.7922944107072217,-0.3240901278974799,-0.5169479236455945,,,,,,,,,,,,,,,,,0.9970107082788451,1,,,high,high,31.432057171251802,-13.343868999818266,54.47940313614503,Kyle Teel,,Virginia 2023
9,03/04/2023,4:09:44 PM,3,1,Brian Edgington,,Right,Virginia 2023,Addison Kopack,kopacad42,Right,Rhode island,Windup,1,Top,2,0,0,Slider,,StrikeCalled,,,,0,0,,81.3636436436071,-0.8461804640293455,-2.903731354931002,2090.2999320941053,68.5987899513388,8:15,6.3816035652070715,1.3538356331079604,6.031717756284852,-40.29746536664942,0.9307632231563616,-5.650612232462815,2.807970480706335,-0.39831862706370535,75.33973356549252,-7.231027641552191,-2.6971671883535047,0.46732372912014564,,,,,,,,,,,,2.46237449186603,1.0001472474981785,-1.11971157949053,49.99999999999998,6.29150939916099,6.177595883947501,-118.26966318468594,-2.9409150591728994,3.4733127814145,23.426017418320235,-30.763287644830186,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,e3d48126-bad0-11ed-8842-0748b78159d8,81.48183283512296,6.375651301169429,1.3558367164736258,-0.7728089400091187,-2.9290134080925223,75.43180321018028,2.8132206151796386,-0.39982482558471916,-7.148677756957775,-2.7205748497920115,0.46720911813433363,-5.383274136813728,-1.1688638735170416,-76.97188729010689,29.955276170885124,471.2144309754926,-2036.4947252946824,22.54290993079736,0.0822582775083349,-0.9742595758755445,0.20988533678217255,,,,,,,,,,,,,,,,,0.9970906622168592,1,,,high,high,63.0402696072992,18.86419929423858,54.54828224371514,Kyle Teel,,Virginia 2023
10,03/04/2023,4:10:03 PM,3,2,Brian Edgington,,Right,Virginia 2023,Addison Kopack,kopacad42,Right,Rhode island,Windup,1,Top,2,0,1,Fastball,,StrikeCalled,,,,0,0,,92.15127305930983,-3.3262460855743967,-4.261730366430059,2065.4932216828647,210.3274356657445,1:00,6.463322629544517,0.9033734400449548,6.235078482059067,-18.207426901118524,14.529339989962871,7.263374702994754,2.682488408465034,-0.770540141672526,83.76083900699827,-5.2421414222810405,-1.198415302388527,0.4121355989351609,,,,,,,,,,,,-5.179220965315995,8.987271411301396,-0.5833285761871397,49.999999999999964,6.200791127440863,9.724600167250049,-133.59040798083004,-8.360125425555166,-9.325794810703043,29.74790920598985,-15.991413307074462,Virginia 2023,Rhode Island,dav02,NCAA D1,ACC,3d956aa1-2008-4c32-9f52-33ed5e84d2a5,eef175c0-bad0-11ed-8ecf-b9ec956ef5c8,92.33258464516604,6.463199680649782,0.9059933178740144,-3.3253255294550654,-4.293471388366892,83.92004811567014,2.6829870320299403,-0.7726590012077582,-5.233594570589509,-1.2322357801933053,0.4119997668404558,7.577787971583603,13.345839011107865,-15.686764008473999,65.36465664563865,1988.562340189558,-558.4640256969905,96.27542319259575,-0.8310050336963702,-0.27037804812643285,-0.4861340813629866,,,,,,,,,,,,,,,,,0.9969456189820463,1,,,high,high,31.171876419190042,31.0063487623203,54.34492151794093,Kyle Teel,,Virginia 2023
