PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/22/2023,4:03:52 PM,1,1,Bradley Hodges,,Left,Virginia 2023,Michael Eze,eze--mi42,Right,Georgetown,Windup,1,Top,0,0,0,Fastball,,BallCalled,,GroundBall,,0,0,,92.98656924,-4.493001581,-2.083188186,2061.761091,164.0872805,11:30,6.742028322,-1.140822846,5.993050323,-17.42910993,15.03688025,-3.117253571,1.603197988,-1.133987125,83.43377387,-6.613404449,0.376105894,0.410096298,,,,,,,,,,,,1.08269416,9.423099777,1.30944474,50,6.37143535,5.009561619,-134.8436971,-11.18818477,1.986146002,30.32552825,-14.88786421,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,abadca33-c8ec-11ed-9b17-dda07e440d35,93.1703816,6.741947727,-1.142492257,-4.492801034,-2.063314674,83.59303288,1.603638785,-1.132686088,-6.605878373,0.396798448,0.409957207,-3.299866439,13.91187923,25.90950987,61.36127601,1854.523722,900.8887629,89.94852651,-0.86501741,0.436951093,0.246614318,,,,,,,,,,,,,,,,,0.991317975,1,,,high,high,34.7747386,83.74259943,54.58694968,Kyle Teel,,Virginia 2023
2,3/22/2023,4:04:06 PM,1,2,Bradley Hodges,,Left,Virginia 2023,Michael Eze,eze--mi42,Right,Georgetown,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,93.45244474,-4.591204525,-2.057677837,2100.436366,159.1097074,11:15,6.675443664,-1.195819466,6.114895421,-17.39510813,14.60841745,-4.249749284,1.465705594,-0.771509288,83.60078634,-6.589417614,0.445052672,0.407164996,,,,,,,,,,,,1.710806367,9.257966182,1.358546434,50,6.307227624,5.009591192,-135.5282632,-11.46444623,3.169665906,30.69209952,-15.02151828,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,b3d8e8ae-c8ec-11ed-a807-97a27c611cb2,93.63569564,6.675326838,-1.197878453,-4.590573323,-2.033170615,83.75851766,1.4661715,-0.769900835,-6.58148788,0.470654374,0.407027893,-4.474361585,13.4919506,26.92642308,76.65451016,1872.725505,951.1740702,89.15887836,-0.832980107,0.452845935,0.317922475,,,,,,,,,,,,,,,,,0.933133094,1,,,high,high,21.01087139,-76.99064385,54.46510458,Kyle Teel,,Virginia 2023
3,3/22/2023,4:04:21 PM,1,3,Bradley Hodges,,Left,Virginia 2023,Michael Eze,eze--mi42,Right,Georgetown,Windup,1,Top,0,2,0,Fastball,,BallCalled,,,,0,0,,91.25399661,-2.445264316,0.62728644,2273.096801,157.7836871,11:15,6.722547951,-1.193818088,6.159239656,-17.72936915,15.62630253,-5.141865236,3.767321463,0.117522596,83.18079104,-3.940159568,1.078249939,0.414226064,,,,,,,,,,,,3.532395631,8.712696359,1.213850474,50,5.755988921,-4.695413774,-133.2292013,-2.051506182,6.309764439,30.27688908,-16.61093962,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,bc97da5e-c8ec-11ed-b6a9-6794610e8946,91.44087773,6.722714981,-1.196213653,-2.447954701,0.656038814,83.34503169,3.767521267,0.119377619,-3.936323098,1.108017714,0.414091697,-5.404878766,14.44216116,28.17692879,73.97764266,2003.720419,1073.346893,88.14936599,-0.816054189,0.472195857,0.333296614,,,,,,,,,,,,,,,,,0.996169791,1,,,high,high,23.42004403,-81.20460512,54.42076034,Kyle Teel,,Virginia 2023
4,3/22/2023,4:04:36 PM,1,4,Bradley Hodges,,Left,Virginia 2023,Michael Eze,eze--mi42,Right,Georgetown,Windup,1,Top,0,3,0,Fastball,,StrikeCalled,,,,0,0,,92.81878947,-3.847272257,-1.196242851,2173.971024,157.7878001,11:15,6.695776989,-1.251795915,5.978251257,-17.65641844,14.88489764,-4.729689791,2.095493842,-0.428279808,83.57287742,-6.114967495,0.948884555,0.410571764,,,,,,,,,,,,2.206449816,9.158403488,1.350592475,50,6.376147937,2.973066993,-134.7607523,-9.658290332,4.0396734,30.48818721,-15.40640833,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,c5e63d75-c8ec-11ed-a06d-312439d28d9f,93.00265524,6.695727112,-1.254017718,-3.847410152,-1.169448504,83.73339339,2.095897195,-0.426514797,-6.108022888,0.976818734,0.410431825,-4.975391085,13.73705632,28.49966712,71.78942657,1910.52896,1037.318227,87.88198827,-0.813602757,0.477153658,0.332227242,,,,,,,,,,,,,,,,,0.998026425,1,,,high,high,25.38938897,-78.79730468,54.60174874,Kyle Teel,,Virginia 2023
5,3/22/2023,4:04:50 PM,1,5,Bradley Hodges,,Left,Virginia 2023,Michael Eze,eze--mi42,Right,Georgetown,Windup,1,Top,0,3,1,Fastball,,BallCalled,Walk,,,0,0,,93.02599997,-2.031208132,-0.366370877,2272.593545,164.2702903,11:30,6.770835207,-1.242061368,6.004727458,-17.27633038,14.98763597,-3.177447548,3.962079206,0.239445247,83.96437522,-3.961209492,0.91648413,0.408818368,,,,,,,,,,,,1.61064345,8.697245085,1.273115359,50,6.598790988,0.971954844,-135.3082232,-5.379272461,2.970893513,30.91717092,-16.13164802,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,ce2e8c21-c8ec-11ed-a9ff-01b4730ddbe2,93.2134934,6.770918596,-1.243908614,-2.032866672,-0.343662229,84.13157213,3.962364352,0.240968867,-3.956091058,0.940586009,0.408677802,-3.385876916,13.83917495,35.67997261,74.53638733,1845.999209,1325.506824,81.22874473,-0.78186834,0.583257321,0.220210799,,,,,,,,,,,,,,,,,0.997970785,1,,,high,high,22.91713816,-83.43588396,54.57527254,Kyle Teel,,Virginia 2023
6,3/22/2023,4:05:22 PM,2,1,Bradley Hodges,,Left,Virginia 2023,Austin Kretzschmar,kretzau42,Right,Georgetown,Windup,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,91.7858484,-2.572887705,-1.586753511,2123.484101,161.8941157,11:30,6.849641062,-1.279936466,6.064648462,-17.83155654,15.28916312,-4.012984582,3.536583556,-0.989619568,83.44770387,-4.60608391,0.444238691,0.414210787,,,,,,,,,,,,1.708851629,9.039497692,1.407232611,50,6.636817992,3.827217008,-133.41622,-6.581454045,3.063717309,30.12749752,-15.96757205,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,e10fd999-c8ec-11ed-84b7-bf691f0fccf7,91.97203622,6.849664027,-1.281881026,-2.573938925,-1.563217481,83.61173722,3.536884924,-0.988110338,-4.600685709,0.468325652,0.414067703,-4.229022178,14.09804666,25.51754259,82.28081471,1916.345507,914.7702589,90.24534282,-0.857767382,0.43078743,0.280459103,,,,,,,,,,,,,,,,,0.9980634,1,,,high,high,15.9471486,-71.75070353,54.51535154,Kyle Teel,,Virginia 2023
7,3/22/2023,4:05:47 PM,2,2,Bradley Hodges,,Left,Virginia 2023,Austin Kretzschmar,kretzau42,Right,Georgetown,Stretch,1,Top,0,0,1,Fastball,,,,Bunt,,1,0,,91.13708545,-2.198398196,-1.474873266,,,,6.838054907,-1.203200896,5.998351855,,,,3.838753742,-0.542923416,81.6341916,-4.349131204,0.878467992,,29.04793124,-26.20127602,5.890386415,1128.458392,,,,6.631124054,,9.756962881,0.17235047,,,,,,,,,,,,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,f032d7ba-c8ec-11ed-a7a4-b55121ca72e2,91.2792814,6.833946856,-1.203200896,-2.148971704,-1.474873266,81.7545087,3.842503252,-0.542923416,-4.289802639,0.878467992,0.424951343,,,,,,,,,,,2.674753878,25.92560135,-12.82541211,0.490302767,0.047517209,3.731538556,1.123771769,6.535207972,-0.011256799,-0.067980847,-0.010172036,-0.986389798,0.056715193,0.154332605,,,,1,0.958626837,1.919640127,high,high,,,54.58164815,Kyle Teel,,Virginia 2023
8,3/22/2023,4:06:25 PM,2,2,Bradley Hodges,,Left,Virginia 2023,Austin Kretzschmar,kretzau42,Right,Georgetown,Stretch,1,Top,1,0,1,Slider,,StrikeCalled,,,,0,0,,80.47146703,-0.548365146,0.093557392,2522.54791,317.9797565,4:30,6.625443973,-1.465643009,5.751086047,-46.43138602,-2.915726727,6.67485412,2.743070539,0.861398572,73.97083625,-8.215710463,3.921014765,0.474782066,,,,,,,,,,,,-3.548987851,-1.400990632,1.453593202,50,6.550255418,-0.39390149,-117.0638476,-2.53078719,-4.897193166,23.25624192,-34.10725478,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,06a00e28-c8ed-11ed-91d1-1913ee37a3d0,80.57772311,6.617301065,-1.468808594,-0.450008864,0.132767141,74.04782508,2.749539111,0.863643136,-8.114730095,3.955792694,0.47467623,6.307336851,-5.366031857,73.8288804,61.80968641,702.5472904,2422.741271,27.85070157,0.206905191,0.960434195,-0.186430683,,,,,,,,,,,,,,,,,0.997214616,1,,,high,high,34.37123868,-31.75649836,54.82891395,Kyle Teel,,Virginia 2023
9,3/22/2023,4:06:59 PM,2,3,Bradley Hodges,,Left,Virginia 2023,Austin Kretzschmar,kretzau42,Right,Georgetown,Stretch,1,Top,1,0,2,Slider,,StrikeSwinging,Strikeout,,,0,0,,80.21985574,-1.228346006,-0.509518019,2426.306854,328.9223998,5:00,6.617141978,-1.404172308,5.792132066,-47.90070958,-4.135732345,5.914101023,2.095761423,0.675648418,72.99406147,-8.753420324,3.545426734,0.480578394,,,,,,,,,,,,-2.257736424,-1.631268426,1.905953341,50,5.936778313,-5.209468843,-115.5684038,-1.193992068,-3.036243714,22.67137259,-34.3678081,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,1aeadd68-c8ed-11ed-8c43-11a4cf5ef6c9,80.32056536,6.608898607,-1.407496212,-1.127393449,-0.467871422,73.06498546,2.102577706,0.678279828,-8.647127928,3.586375575,0.480482917,5.524973268,-6.637929068,72.71896704,66.79949424,720.7557673,2316.781404,29.70587856,0.254421628,0.954859193,-0.153341309,,,,,,,,,,,,,,,,,0.997170066,1,,,high,high,29.88049523,-39.4126891,54.78786793,Kyle Teel,,Virginia 2023
10,3/22/2023,4:07:47 PM,3,1,Bradley Hodges,,Left,Virginia 2023,Owen Carapellotti,carapow42,Left,Georgetown,Stretch,1,Top,1,0,0,Curveball,,StrikeCalled,,,,0,0,,75.94016102,-0.073483545,-1.357108677,2424.487318,338.7336164,5:15,6.663341478,-1.289056761,5.762852584,-60.49237976,-11.27590257,6.833838776,1.76146275,0.338728364,68.49019032,-10.95329328,3.261404443,0.504924896,,,,,,,,,,,,-4.101311936,-6.032977541,1.39896009,50,6.61983285,2.420978626,-110.3858107,-1.859856321,-4.991847557,22.1353032,-39.51699367,Virginia 2023,Georgetown,dav02,NCAA D1,ACC,4e7f80ac-f08b-4d84-bb56-a4084d9be241,379b668a-c8ed-11ed-92a8-fdc8b22ed713,76.01310641,6.650958692,-1.291681974,0.074391262,-1.325161069,68.51560621,1.771232732,0.340831742,-10.80352445,3.294170944,0.504843651,6.53475702,-14.69487194,49.63920469,34.80663367,1570.094739,1847.414752,64.75986602,0.603499907,0.761981611,-0.234886967,,,,,,,,,,,,,,,,,0.996689317,1,,,high,high,58.67399886,-44.9388686,54.81714742,Kyle Teel,,Virginia 2023
