PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/26/2023,1:03:44 PM,1,1,Jack O'connor,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,,1,Top,0,0,0,Fastball,,Foul,,,,,,,92.61942833,-3.543925168,-4.886035321,2121.828801,220.5247389,1:15,6.573372449,0.801879676,6.400003017,-19.31697714,13.36623581,10.02692088,2.508513357,-0.173666137,83.55675525,-5.558447923,1.100024826,0.409161201,,,,,,,,,,,,-6.975720515,8.383182546,-0.44942475,50,6.304483275,11.15473362,-134.1583437,-8.923168798,-12.66835851,29.98580859,-16.94964922,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,2b1ecb8c-cbf8-11ed-8778-edc669b029f1,92.79376871,6.572853705,0.805074676,-3.537878979,-4.925456585,83.70795129,2.509325685,-0.176290421,-5.545057807,1.057963322,0.409033079,10.42192584,12.0923819,-1.382978535,71.49053242,2121.210721,-51.21073143,99.9708704,-0.759904057,-0.024135185,-0.649587035,,,,,,,,,,,,,,,,,0.992417204,1,,,high,high,25.65859605,71.68151182,54.17999698,Kyle Teel,,Virginia 2023
2,3/26/2023,1:04:20 PM,1,2,Jack O'connor,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,,1,Top,0,0,1,Curveball,,BallCalled,,Popup,,0,0,,79.95512783,-1.897479926,-3.908436278,2345.083425,41.91858758,7:30,6.655292021,0.720857116,6.204189784,-47.98526704,-4.598083942,-8.441303349,1.109289477,-0.846800392,73.6267897,-10.49275542,-2.201137181,0.476000441,,,,,,,,,,,,3.558542503,-1.361746753,-0.417360541,50,6.485429275,8.169182027,-116.0353742,-5.160539604,4.800943026,23.83212986,-34.0112255,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,407ee302-cbf8-11ed-bf56-75ab99df78a9,80.05422591,6.646537055,0.722604302,-1.792763921,-3.930002928,73.686605,1.116505034,-0.84794413,-10.38009304,-2.219038102,0.475898875,-8.221864744,-7.290681344,-64.21376761,72.86095119,1020.145856,-2111.56783,43.50147401,0.323692229,-0.900423332,0.290622031,,,,,,,,,,,,,,,,,0.608886254,1,,,high,high,24.42515648,54.76061032,54.37581022,Kyle Teel,,Virginia 2023
3,3/26/2023,1:04:36 PM,1,3,Jack O'connor,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,,1,Top,0,1,1,Fastball,,StrikeCalled,,,Out,1,0,,92.92864456,-1.796331395,-4.584677199,2218.634991,219.8633273,1:15,6.69272531,0.672840811,6.411362418,-18.19637533,13.81687943,10.2187028,4.275648748,-0.225623266,83.69696836,-3.792704683,0.80794646,0.407226881,,,,,,,,,,,,-6.95033593,8.107503012,-0.343435366,50,6.552890532,10.4968148,-134.8464449,-4.806024071,-12.73263771,30.71008459,-17.32154466,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,4a042d6e-cbf8-11ed-b867-4b831db5ef4f,93.10957653,6.692466355,0.676178154,-1.793706075,-4.625758337,83.85572586,4.276267058,-0.22841401,-3.782392798,0.763611536,0.40709631,10.59489178,12.65699406,-3.493502873,91.50698443,2214.512134,-135.1933106,99.81417146,-0.766149186,-0.060935355,-0.639767386,,,,,,,,,,,,,,,,,0.99697319,1,,,high,high,7.643687763,-20.65527383,54.16863758,Kyle Teel,,Virginia 2023
4,3/26/2023,1:04:53 PM,1,4,Jack O'connor,,Right,Virginia 2023,Deamez Ross,ross-de43,Left,Florida state,,1,Top,1,1,2,,,StrikeCalled,Strikeout,,,0,0,,93.19763859,-2.729620714,-4.792989866,2192.979119,214.1029181,1:15,6.683065951,0.657168156,6.476315164,-17.60973962,14.59986687,8.724540555,3.218342119,-0.790277821,83.99561741,-5.144704072,0.090798239,0.405772801,,,,,,,,,,,,-6.226657044,8.849144699,-0.317151797,50,6.478783728,11.06134132,-135.1304543,-6.990219209,-11.46391589,30.6265521,-15.88186426,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,53d5085c-cbf8-11ed-93f8-0d8000b5516b,93.37909498,6.683075704,0.660060964,-2.730254835,-4.828460656,84.15181105,3.218752181,-0.79262162,-5.137596051,0.053109581,0.405642248,9.07729971,13.41448699,-5.346444271,76.33047162,2183.438552,-204.3367455,99.56494949,-0.824429423,-0.093177698,-0.558241922,,,,,,,,,,,,,,,,,0.980221303,1,,,high,high,21.30276431,-4.041638211,54.10368484,Kyle Teel,,Virginia 2023
5,3/26/2023,1:05:21 PM,2,1,Jack O'connor,,Right,Virginia 2023,Titan Kamaka,kamakti42,Right,Florida state,,1,Top,1,0,0,Fastball,,Foul,,,,0,0,,92.78917909,-3.516567543,-4.468040813,,,,6.677796942,0.590777199,6.539975029,,,,2.652500979,-0.295707973,84.07969536,-5.739700623,0.869764788,,,,,,,,,,,,,,,,,,,,,,,,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,6508f70a-cbf8-11ed-a726-c1965609d6e9,92.92938754,6.673880266,0.590777199,-3.469391635,-4.468040813,84.19749841,2.655926821,-0.295707973,-5.685091186,0.869764788,0.409449685,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.04002497,Kyle Teel,,Virginia 2023
6,3/26/2023,1:05:38 PM,2,2,Jack O'connor,,Right,Virginia 2023,Titan Kamaka,kamakti42,Right,Florida state,,1,Top,1,0,1,Curveball,,StrikeSwinging,,,,0,0,,75.90642385,2.694784935,0.157837385,2153.59359,139.7850399,10:45,6.463839194,0.726361676,7.636408046,-42.39376762,2.836651821,-1.293061978,1.759858567,-1.095645013,75.18048403,-8.806288722,-1.925118942,0.451817504,,,,,,,,,,,,1.158439918,2.355524742,-0.317138869,50,6.341026014,2.955813219,-118.6206528,-4.57348663,1.650071451,22.75382292,-28.81886123,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,6e90c10c-cbf8-11ed-9e12-17edfc426d36,76.02403706,6.458725995,0.730980405,2.759401314,0.098157951,75.26911433,1.763826368,-1.097875298,-8.741923833,-1.961381664,0.451717134,-0.75699625,0.912563164,-87.07801745,82.5673972,109.7818005,-2150.793646,5.097609921,-0.03892675,-0.998699873,0.03291308,,,,,,,,,,,,,,,,,0.990697775,1,,,high,high,15.68920312,-58.89164756,52.94359195,Kyle Teel,,Virginia 2023
7,3/26/2023,1:05:55 PM,2,3,Jack O'connor,,Right,Virginia 2023,Titan Kamaka,kamakti42,Right,Florida state,,1,Top,1,0,2,Fastball,,BallCalled,,,,0,0,,93.95437503,-2.562274564,-5.148972936,2185.147273,215.5057821,1:15,6.681179955,0.331674655,6.454408024,-16.85403137,14.11264345,8.968970354,3.718466513,-1.521115991,85.57787856,-4.189236315,-0.530297864,0.402825982,,,,,,,,,,,,-6.51210689,8.598938711,0.035805682,50,6.487837952,11.98694011,-136.1682717,-6.646396531,-12.17543069,31.07356573,-16.09695134,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,78ea6ca3-cbf8-11ed-8bda-c35c6e684f19,94.13602312,6.681128779,0.33460428,-2.562147115,-5.184958187,85.73797832,3.718834714,-1.523504191,-4.18283639,-0.568422099,0.402697135,9.32220096,12.97224028,-2.676053306,85.9277378,2182.764317,-102.0222587,99.89094758,-0.813169163,-0.046688962,-0.58015175,,,,,,,,,,,,,,,,,0.997768424,1,,,high,high,12.66537996,35.76392343,54.12559198,Kyle Teel,,Virginia 2023
8,3/26/2023,1:06:10 PM,2,4,Jack O'connor,,Right,Virginia 2023,Titan Kamaka,kamakti42,Right,Florida state,,1,Top,1,1,2,Slider,,BallCalled,,,,0,0,,83.92084339,-2.971583895,-4.354603134,2260.34751,168.183719,11:30,6.507880091,0.871717956,6.264637895,-34.90607205,4.489973045,-2.645070026,0.973092798,-1.062730248,76.34844435,-9.428490251,-2.042084865,0.457013844,,,,,,,,,,,,1.002612437,2.59693518,-0.465217664,50,6.183089455,3.317985092,-120.2644979,-6.391726872,1.467697057,23.42907592,-28.37246686,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,81d096c2-cbf8-11ed-9635-73d984d502c3,84.05055387,6.503606433,0.874823146,-2.919471366,-4.393156816,76.44323002,0.97724205,-1.065218677,-9.362828517,-2.081625718,0.456908345,-2.287257058,2.765259037,-87.76562249,81.59388943,88.12495271,-2258.628978,3.898734699,-0.038161175,-0.999239704,0.007983603,,,,,,,,,,,,,,,,,0.962301632,1,,,high,high,16.56548999,-62.70722696,54.3153621,Kyle Teel,,Virginia 2023
9,3/26/2023,1:06:28 PM,2,5,Jack O'connor,,Right,Virginia 2023,Titan Kamaka,kamakti42,Right,Florida state,,1,Top,1,2,2,Slider,,BallCalled,,,,0,0,,86.95695757,-2.852765118,-5.491355142,2150.925043,203.7970854,12:45,6.557069187,0.971953014,6.285501506,-27.92655411,8.845868242,0.627378705,1.601459673,-1.641719176,79.69878574,-8.0611382,-2.838368746,0.436448135,,,,,,,,,,,,-1.891533356,5.633129606,-0.559410845,50,6.327969264,12.08649577,-125.9159462,-7.133951326,-3.033292842,25.84201153,-23.14067375,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,8cb53b7d-cbf8-11ed-b874-b5589809e4d6,87.11486633,6.55453748,0.974644032,-2.821973213,-5.524675835,79.82763266,1.604085077,-1.64386861,-8.019037281,-2.872768123,0.436315821,0.935776141,7.394792148,-72.9923238,74.21354491,629.145171,-2056.855585,29.24998121,-0.267631535,-0.95626558,-0.118023309,,,,,,,,,,,,,,,,,0.995781436,1,,,high,high,23.20769155,-36.66551184,54.29449849,Kyle Teel,,Virginia 2023
10,3/26/2023,1:06:45 PM,2,6,Jack O'connor,,Right,Virginia 2023,Titan Kamaka,kamakti42,Right,Florida state,,1,Top,1,3,2,Fastball,,InPlay,,GroundBall,Single,0,0,,92.54988768,-3.861479866,-4.227173883,2245.190662,216.8003655,1:15,6.65057086,0.598908614,6.437538263,-17.72231434,14.57373933,9.71095637,2.474858787,-0.324852878,84.45544477,-5.554028887,0.611851016,0.409021608,106.1839093,0.011066147,-1.155829031,673.5999606,,,,53.76190043,,-0.564020668,0.356336846,-6.557323907,9.123602599,-0.29731149,50,6.361839959,9.616621746,-134.136856,-9.621997915,-11.89916945,30.10188042,-15.61801318,Virginia 2023,Florida State,dav02,NCAA D1,ACC,3eec714b-e398-458d-ac70-3170ecac0add,96d03738-cbf8-11ed-9ae4-6bb40a57ef4d,92.72670859,6.650422667,0.602045736,-3.860120591,-4.265636398,84.61070225,2.475308396,-0.327362054,-5.54634572,0.571351601,0.408892048,10.06242957,13.45160044,-1.761492872,88.29363943,2244.129686,-69.01493323,99.9527445,-0.800349162,-0.030739008,-0.598745632,-2.141905036,106.1623023,0.020508435,0.312080897,0.841681193,2.38834878,-0.529224552,53.75929556,0.333643464,-4.852474918,-0.038630876,-0.854185661,0.000696396,-0.519967664,,,0.997520131,1,0.993483935,62.12184248,high,high,10.53566861,-72.29996686,54.14246174,Kyle Teel,,Virginia 2023
